06-14 17:25:54.734	tUHM:SetupWizardWelcomeActivity.UHM init()
06-14 17:25:54.734	tUHM:AutoSwitchIntentService. isRunning() returns : false
06-14 17:25:54.734	tUHM:SetupWizardWelcomeActivity.checkLastLaunchedDeviceState()
06-14 17:25:54.734	tUHM:RegistryDbManagerWithProvider.queryLastLaunchDeviceRegistryData
06-14 17:25:54.738	tUHM:RegistryDbManagerWithProvider.queryLastLaunchDeviceRegistryData, size = 0
06-14 17:25:54.738	tUHM:SetupWizardWelcomeActivity.getAllDeviceRegistryData()
06-14 17:25:54.738	tUHM:SetupWizardWelcomeActivity.isFromWearableInstaller() has(BT_ADD_FROM_STUB) = false, has(MODEL_NAME) = false
06-14 17:25:54.738	tUHM:SetupWizardWelcomeActivity. isFromWearableInstaller() return  false
06-14 17:25:54.738	tUHM:SetupWizardWelcomeActivity.isFromStubByNFC() return :false
06-14 17:25:54.739	tUHM:SetupWizardWelcomeActivity.nfc::init() isFromWearableInstaller = false
06-14 17:25:54.739	tUHM:SetupWizardWelcomeActivity.nfc::init() isFromStubByNFC = false
06-14 17:25:54.739	tUHM:SetupWizardWelcomeActivity.nfc::init() isFromSamsungApps = false
06-14 17:25:54.739	tUHM:SetupWizardWelcomeActivity.nfc::init() isFromUpdateNotification = false
06-14 17:25:54.739	tUHM:UpdateManager.isUpdateCheckNeeded-->true, isFirstCheck-->true
06-14 17:25:54.739	tUHM:UpdateUtil.getIsNotifiedFlag(com.samsung.android.app.watchmanager.setupwizard.SetupWizardWelcomeActivity@f748661)
06-14 17:25:54.740	tUHM:InstallationUtils.hasInstallPermission() return:true
06-14 17:25:54.740	tUHM:InstallationUtils.isInstallFromPlaystore()  return :false
06-14 17:25:54.740	tUHM:UpdateManager.isSamsungServer-->true, isUpdateChecked-->false
06-14 17:25:54.740	tUHM:UpdateManager.checkForUpdate()
06-14 17:25:54.741	tUHM:UpdateManager.Going to check for updates...
06-14 17:25:54.741	tUHM:UpdateUtil.isUpdateExist, context [com.samsung.android.app.watchmanager.setupwizard.SetupWizardWelcomeActivity@f748661]
06-14 17:25:54.741	tUHM:UpdateUtil.isUpdateExist, sub-res [false]
06-14 17:25:54.741	tUHM:UpdateUtil.isUpdateExist, res [false]
06-14 17:25:54.741	tUHM:UpdateManager.Update was checked previously and update was available: false
06-14 17:25:54.742	tUHM:HostManagerUtils.check for network availability, context [com.samsung.android.app.watchmanager.setupwizard.SetupWizardWelcomeActivity@f748661]
06-14 17:25:54.743	tUHM:HostManagerUtils.isNetworkAvailable, res [true]
06-14 17:25:54.743	tUHM:SetupWizardWelcomeActivity.onStartCheckingUpdate
06-14 17:25:54.743	tUHM:SetupWizardWelcomeActivity.updateFragment() fragmentType:1 bundle:null, forceSet:false
06-14 17:25:54.743	tUHM:SetupWizardWelcomeActivity.getCurrentFragment() :null
06-14 17:25:54.744	tUHM:UpdateChecker.startUpdateCheckThread()
06-14 17:25:54.744	tUHM:InstallationUtils.hasInstallPermission() return:true
06-14 17:25:54.745	tUHM:InstallationUtils.isInstallFromPlaystore()  return :false
06-14 17:25:54.745	tUHM:UpdateChecker.makePackageUpdateString()
06-14 17:25:54.745	tUHM:UpdateChecker.Starting Sync...
06-14 17:25:54.745	tUHM:GearRulesManager.getInstance()
06-14 17:25:54.746	tUHM:TWatchManagerApplication.getAppContext()
06-14 17:25:54.746	tUHM:TWatchManagerApplication.mAppContext = com.samsung.android.app.twatchmanager.TWatchManagerApplication@519f66b
06-14 17:25:54.746	tUHM:GearRulesManager. mContext :com.samsung.android.app.twatchmanager.TWatchManagerApplication@519f66b
06-14 17:25:54.746	tUHM:UpdateChecker.SyncCompleteCallBack(com.samsung.android.app.twatchmanager.update.UpdateChecker@12279d)
06-14 17:25:54.746	tUHM:GearRulesManager.syncDeviceInfo () syncType :2 syncCallback:com.samsung.android.app.twatchmanager.update.UpdateChecker$SyncCompleteCallBack@3ae412
06-14 17:25:54.747	tUHM:UpdateChecker.reading Rule File from MSC server
06-14 17:25:54.747	tUHM:GearRulesManager.syncFromMSCServer()
06-14 17:25:54.747	tUHM:UpdateChecker.makeHandlerInstance, mCheckResponseHandler [null]
06-14 17:25:54.747	tUHM:GearRulesManager. getInputStream()
06-14 17:25:54.748	tUHM:UpdateChecker.No package added for update checking.
06-14 17:25:54.748	tUHM:GearRulesManager.getInputStream() let sync from asset
06-14 17:25:54.748	tUHM:NetworkUsageManager.continueProcess ends
06-14 17:25:54.748	tUHM:SetupWizardWelcomeActivity.setAppBadge() packageName :com.samsung.android.app.watchmanager
06-14 17:25:54.748	BaseRulesParser.getRulesXMLVersion()
06-14 17:25:54.748	tUHM:SetupWizardWelcomeActivity.setAppBadge() className :com.samsung.android.app.watchmanager.setupwizard.SetupWizardWelcomeActivity
06-14 17:25:54.749	BaseRulesParser. tagName :rules
06-14 17:25:54.749	BaseRulesParser. tagName :gear-info
06-14 17:25:54.749	tUHM:SetupWizardWelcomeActivity.onCreate() ends.
06-14 17:25:54.749	BaseRulesParser.getRulesXMLVersion() tempVersion:2.08
06-14 17:25:54.749	tUHM:LoadingGearFragment.onCreateView
06-14 17:25:54.750	BaseRulesParser.getRulesXMLVersion() MajorVersion: 2 return version:2.08
06-14 17:25:54.750	tUHM:GearRulesManager.isUpdateNeeded() newVersion: 2.08
06-14 17:25:54.750	tUHM:GearRulesManager.isUpdateNeeded() newVersion.lenght: 2
06-14 17:25:54.751	tUHM:GearRulesManager. isUpdateNeeded()  newVersion[0]:2 currentVersion[0]:0
06-14 17:25:54.751	tUHM:GearRulesManager.isUpdateNeeded() returns:true
06-14 17:25:54.752	tUHM:GearRulesManager.updateRulesCache() writing to local rules.xml
06-14 17:25:54.752	tUHM:TWatchManagerApplication.getAppContext()
06-14 17:25:54.752	tUHM:TWatchManagerApplication.mAppContext = com.samsung.android.app.twatchmanager.TWatchManagerApplication@519f66b
06-14 17:25:54.753	tUHM:GearRulesManager.processRulesFile() synType: 2 xmlVersion: 2.08
06-14 17:25:54.753	RulesParser. parseAndStoreModuleInfo 
06-14 17:25:54.753	tUHM:TWatchManagerApplication.getAppContext()
06-14 17:25:54.753	tUHM:TWatchManagerApplication.mAppContext = com.samsung.android.app.twatchmanager.TWatchManagerApplication@519f66b
06-14 17:25:54.754	RulesParser. tagName :rules
06-14 17:25:54.754	RulesParser. tagName :gear-info
06-14 17:25:54.754	RulesParser.parseAndStoreModuleInfo() parse Version:2.08
